fecha_recogida,fecha_entrega,origen,destino,tipo_unidad,tipo_remolque,producto,negociar,valor_flete,contacto,observaciones
,,"8464","8570",5ta rueda - Sencillo,Caja Seca,Maiz Encostalado,No,0,Allan Guzman,
,,"8464","8570",5ta rueda - Sencillo,Plataforma,Maiz Encostalado,No,0,Allan Guzman,
